hs_code,name_en,name_ar,keywords
080410,Dates fresh or dried,تمور طازجة أو مجففة,"تمر,تمور,بلح,رطب,عجوة,سكري,date,dates"
080420,Figs fresh or dried,تين طازج أو مجفف,"تين,fig,figs"
080430,Pineapples,أناناس,"اناناس,أناناس,pineapple"
080440,Avocados,أفوكادو,"افوكادو,أفوكادو,avocado"
080450,Guavas mangoes mangosteens,جوافة ومانجو,"جوافة,مانجو,مانغو,guava,mango,mangosteen"
080610,Grapes fresh,عنب طازج,"عنب,grape,grapes,fresh grapes"
080620,Grapes dried (raisins),زبيب,"زبيب,raisin,raisins,dried grapes"
080711,Watermelons,بطيخ,"بطيخ,حبحب,رقي,watermelon"
080719,Melons,شمام,"شمام,بطيخ اصفر,melon,melons,cantaloupe"
080810,Apples fresh,تفاح طازج,"تفاح,apple,apples"
080830,Pears,كمثرى,"كمثرى,اجاص,إجاص,pear,pears"
080910,Apricots,مشمش,"مشمش,apricot,apricots"
080921,Sour cherries,كرز حامض,"كرز حامض,sour cherry"
080929,Cherries,كرز,"كرز,cherry,cherries"
080930,Peaches and nectarines,خوخ ونكتارين,"خوخ,دراق,نكتارين,peach,peaches,nectarine"
080940,Plums and sloes,برقوق,"برقوق,خوخ مجفف,plum,plums,sloes"
081010,Strawberries,فراولة,"فراولة,فريز,strawberry,strawberries"
081050,Kiwifruit,كيوي,"كيوي,kiwi,kiwifruit"
081090,Other fresh fruit,فواكه طازجة أخرى,"رمان,تين شوكي,pomegranate,fresh fruit"
081310,Apricots dried,مشمش مجفف,"مشمش مجفف,قمر الدين,dried apricot,dried apricots"
081320,Prunes dried,برقوق مجفف,"برقوق مجفف,prune,prunes"
081340,Other dried fruit,فواكه مجففة أخرى,"فواكه مجففة,dried fruit,mixed dried fruit"
080211,Almonds in shell,لوز بقشره,"لوز,almond,almonds in shell"
080212,Almonds shelled,لوز مقشر,"لوز مقشر,shelled almonds,almond"
080221,Hazelnuts in shell,بندق بقشره,"بندق,hazelnut,hazelnuts"
080231,Walnuts in shell,جوز بقشره,"جوز,عين جمل,walnut,walnuts"
080250,Pistachios,فستق,"فستق,pistachio,pistachios"
080260,Macadamia nuts,مكاديميا,"مكاديميا,macadamia"
080132,Cashew nuts shelled,كاجو مقشر,"كاجو,cashew,cashews"
080111,Coconut desiccated,جوز هند مجفف,"جوز هند,coconut"
120220,Groundnuts (peanuts),فول سوداني,"فول سوداني,فستق عبيد,peanut,peanuts,groundnut"
090111,Coffee not roasted not decaf,بن غير محمص,"بن,قهوة,قهوة خضراء,green coffee,coffee beans,coffee"
090121,Coffee roasted not decaf,بن محمص,"بن محمص,قهوة محمصة,roasted coffee,coffee"
090122,Coffee roasted decaf,بن محمص منزوع الكافيين,"بن منزوع الكافيين,decaf coffee"
210111,Coffee extracts instant,قهوة سريعة التحضير,"قهوة سريعة,نسكافيه,instant coffee,coffee extract"
090210,Green tea small packages,شاي أخضر,"شاي أخضر,green tea,tea"
090230,Black tea small packages,شاي أسود,"شاي أسود,شاي,black tea,tea"
180100,Cocoa beans,حبوب كاكاو,"كاكاو,cocoa,cacao,cocoa beans"
180610,Cocoa powder sweetened,مسحوق كاكاو محلى,"كاكاو محلى,cocoa powder"
180632,Chocolate not filled,شوكولاتة غير محشوة,"شوكولاتة,شوكولا,chocolate"
180690,Chocolate preparations,محضرات شوكولاتة,"شوكولاتة محشوة,chocolate,confectionery"
040900,Natural honey,عسل طبيعي,"عسل,عسل طبيعي,عسل سدر,honey,natural honey"
091020,Saffron,زعفران,"زعفران,saffron"
091030,Turmeric,كركم,"كركم,turmeric"
091011,Ginger fresh or dried,زنجبيل,"زنجبيل,ginger"
090411,Pepper not crushed,فلفل أسود,"فلفل أسود,فلفل اسود,black pepper,pepper"
090421,Chilli dried,فلفل حار مجفف,"فلفل حار,شطة,chilli,chili,paprika,pepper"
090500,Vanilla,فانيليا,"فانيليا,فانيلا,vanilla"
090610,Cinnamon,قرفة,"قرفة,دارسين,cinnamon"
090700,Cloves,قرنفل,"قرنفل,مسمار,clove,cloves"
090830,Cardamom,هيل,"هيل,حبهان,cardamom"
090921,Coriander seeds,بذور كزبرة,"كزبرة,coriander,cilantro"
090931,Cumin seeds,بذور كمون,"كمون,cumin"
091099,Other spices mixtures,بهارات مخلوطة,"بهارات,توابل,خلطة بهارات,spices,mixed spices,seasoning"
150910,Olive oil virgin,زيت زيتون بكر,"زيت زيتون,زيت زيتون بكر,virgin olive oil,olive oil"
150990,Olive oil other,زيت زيتون آخر,"زيت زيتون,olive oil,refined olive oil"
071120,Olives provisionally preserved,زيتون محفوظ,"زيتون,olive,olives"
200570,Olives prepared,زيتون محضر,"زيتون معلب,زيتون مخلل,prepared olives,olives"
151590,Other fixed vegetable oils,زيوت نباتية أخرى,"زيت نباتي,vegetable oil,seed oil"
330129,Essential oils other,زيوت عطرية,"زيت عطري,زيوت عطرية,essential oil,essential oils"
330741,Agarbatti and odoriferous (oud incense),بخور وعود,"بخور,عود,دخون,معمول,oud,bakhoor,incense,agarwood"
330300,Perfumes and toilet waters,عطور,"عطر,عطور,برفان,perfume,perfumes,fragrance,toilet water"
330749,Other odoriferous preparations,محضرات معطرة أخرى,"معطر جو,air freshener,odoriferous"
130190,Natural gums and resins,صموغ وراتنجات,"صمغ,لبان,مر,gum,resin,frankincense,myrrh"
410712,Leather grain splits bovine,جلد بقري,"جلد,جلود,جلد طبيعي,leather,bovine leather"
420221,Handbags leather,حقائب يد جلدية,"حقيبة جلد,شنطة جلد,leather handbag,leather bag"
420310,Leather apparel,ملابس جلدية,"ملابس جلد,جاكيت جلد,leather apparel,leather jacket"
640351,Leather footwear,أحذية جلدية,"حذاء جلد,أحذية جلدية,leather shoes,leather footwear"
500200,Raw silk,حرير خام,"حرير,حرير خام,silk,raw silk"
500720,Silk woven fabric,أقمشة حرير,"قماش حرير,نسيج حرير,silk fabric,woven silk"
520100,Cotton not carded,قطن خام,"قطن,قطن خام,cotton,raw cotton"
520811,Cotton woven fabric,أقمشة قطنية,"قماش قطن,نسيج قطن,cotton fabric"
510111,Wool greasy shorn,صوف خام,"صوف,wool,raw wool"
570110,Carpets of wool knotted,سجاد صوف معقود,"سجاد,سجادة,سجاد صوف,carpet,rug,wool carpet"
570241,Carpets woven wool,سجاد صوف منسوج,"سجاد منسوج,woven carpet,rug"
580500,Hand-woven tapestries,نسجيات يدوية,"نسجيات,جوبلان,tapestry,kilim"
610910,T-shirts cotton,تيشيرت قطن,"تيشيرت,قميص قطن,t-shirt,tshirt,cotton shirt"
620520,Mens shirts cotton,قمصان رجالية قطن,"قميص رجالي,men shirt,cotton shirt"
621420,Shawls scarves cotton,شيلان وأوشحة قطن,"شال,وشاح,شماغ,scarf,shawl,cotton scarf"
621410,Shawls scarves silk,شيلان وأوشحة حرير,"شال حرير,وشاح حرير,silk scarf,silk shawl"
650500,Headgear knitted,أغطية رأس,"طاقية,غترة,قبعة,headgear,cap,hat,ghutra"
711319,Jewellery precious metal,مجوهرات معادن ثمينة,"مجوهرات,ذهب,مشغولات ذهبية,jewellery,jewelry,gold jewellery"
711311,Jewellery of silver,مجوهرات فضة,"مجوهرات فضة,فضة,silver jewellery,silver"
711319,Jewellery of gold,مجوهرات ذهب,"ذهب,مجوهرات ذهبية,gold jewellery,gold"
711790,Imitation jewellery,مجوهرات تقليد,"اكسسوار,إكسسوار,imitation jewellery,costume jewellery,accessories"
710310,Precious stones unworked,أحجار كريمة خام,"أحجار كريمة,gemstone,precious stones"
691110,Porcelain tableware,أواني مائدة خزفية,"خزف,بورسلين,أواني خزف,porcelain,chinaware,tableware"
691200,Ceramic tableware,أواني مائدة فخارية,"فخار,سيراميك,أواني فخار,ceramic,pottery,earthenware"
691390,Ceramic ornaments,تحف خزفية,"تحف خزفية,زينة سيراميك,ceramic ornaments,figurines"
700991,Glass mirrors,مرايا زجاجية,"مرايا,زجاج,glass mirror,mirror"
701337,Glassware drinking,أوانٍ زجاجية للشرب,"كؤوس زجاج,أكواب زجاج,glassware,drinking glass"
442010,Wooden ornaments,تحف خشبية,"تحف خشبية,منحوتات خشب,wooden ornaments,wood carving,handicraft"
460219,Basketwork of plant materials,منتجات سلال,"سلال,خوص,سعف,basketwork,wickerwork,palm leaf"
190531,Sweet biscuits,بسكويت محلى,"بسكويت,sweet biscuit,cookies"
190590,Bakery products other,منتجات مخابز أخرى,"معمول,كعك,بقلاوة,maamoul,baklava,pastry,bakery"
170490,Sugar confectionery,حلويات سكرية,"حلوى,حلويات,ملبس,sugar confectionery,candy,sweets"
200799,Jams and fruit preserves,مربى وفواكه محفوظة,"مربى,jam,marmalade,fruit preserve"
210390,Sauces and condiments,صلصات وتوابل,"صلصة,دقوس,sauce,condiment,dressing"
210690,Food preparations other,محضرات غذائية أخرى,"محضرات غذائية,مكملات,food preparation,supplement"
220210,Flavoured waters soft drinks,مشروبات غازية,"مشروب غازي,مشروبات,soft drink,soda,flavoured water"
220290,Non-alcoholic beverages,مشروبات غير كحولية,"عصير,مشروبات,vimto,non-alcoholic beverage,juice drink"
200970,Apple juice,عصير تفاح,"عصير تفاح,apple juice"
200989,Other fruit juices,عصائر فواكه أخرى,"عصير,عصير فواكه,fruit juice,juice"
040120,Milk and cream,حليب وقشطة,"حليب,لبن,قشطة,milk,cream"
040690,Cheese other,أجبان أخرى,"جبن,جبنة,cheese"
040310,Yogurt,زبادي,"زبادي,لبن رائب,yogurt,yoghurt"
100630,Rice semi-milled or milled,أرز,"أرز,رز,rice,milled rice"
110100,Wheat flour,دقيق قمح,"دقيق,طحين,wheat flour,flour"
071333,Kidney beans dried,فاصوليا جافة,"فاصوليا,fasolia,kidney beans"
071340,Lentils,عدس,"عدس,lentil,lentils"
071310,Peas dried,بازلاء جافة,"بازلاء,بسلة,dried peas"
071320,Chickpeas,حمص,"حمص,حمّص,chickpea,chickpeas,garbanzo"
