iso3,name_en,main_port,port_type,logistics_note,source,source_url
ABW,Aruba,SINT NICOLAAS BAAI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AFG,Afghanistan,ميناء كراتشي (باكستان) أو تشابهار (إيران),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
AGO,Angola,CABINDA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AIA,Anguilla,Anguilla,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ALB,Albania,DURRES,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AND,Andorra,موانئ إسبانيا/فرنسا,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
ARE,United Arab Emirates,MINA JABAL ALI,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ARG,Argentina,BUENOS AIRES,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ARM,Armenia,موانئ بوتي/باتومي (جورجيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
ASM,American Samoa,PAGO PAGO HARBOR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ATA,Antarctica,MCMURDO STATION,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ATG,Antigua and Barbuda,ST JOHNS,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AUS,Australia,SYDNEY,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AUT,Austria,ميناء تريستا (إيطاليا) أو روتردام (هولندا) عبر الراين,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
AZE,Azerbaijan,موانئ بوتي/باتومي (جورجيا) أو بحر قزوين,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BDI,Burundi,ميناء دار السلام (تنزانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BEL,Belgium,ANTWERPEN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BEN,Benin,COTONOU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BES,Caribbean Netherlands,ORANJESTAD,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BFA,Burkina Faso,ميناء أبيدجان (كوت ديفوار) أو لومي (توغو) أو تيما (غانا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BGD,Bangladesh,CHITTAGONG,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BGR,Bulgaria,VARNA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BHR,Bahrain,Khalifa Bin Salman Port (Hidd),sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
BHS,Bahamas,NASSAU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BIH,Bosnia and Herzegovina,NEUM,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BLR,Belarus,موانئ بحر البلطيق (كلايبيدا، ليتوانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BLZ,Belize,BELIZE CITY,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BMU,Bermuda,IRELAND ISLAND,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BOL,Bolivia,ميناء أريكا/أنتوفاغاستا (تشيلي) أو إيلو (بيرو),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BRA,Brazil,SANTOS,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BRB,Barbados,BRIDGETOWN,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BRN,Brunei,MUARA HARBOR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BTN,Bhutan,ميناء كولكاتا/هالديا (الهند),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BWA,Botswana,ميناء ديربان (جنوب أفريقيا) أو والفيس باي (ناميبيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
CAF,Central African Republic,ميناء دوالا (الكاميرون),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
CAN,Canada,Vancouver,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
CHE,Switzerland,Geneva,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CHL,Chile,ANTOFAGASTA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CHN,China,Shanghai,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
CIV,Ivory Coast,ABIDJAN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CMR,Cameroon,DOUALA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COD,DR Congo,MATADI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COG,Congo,POINTE NOIRE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COK,Cook Islands,AVATIU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COL,Colombia,CARTAGENA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COM,Comoros,DZAOUDZI,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CRI,Costa Rica,GOLFITO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CUB,Cuba,ANTILLA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CUW,Curaçao,WILLEMSTAD,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CXR,Christmas Island,FLYING FISH COVE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CYM,Cayman Islands,CAYMAN BRAC,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CYP,Cyprus,LARNACA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CZE,Czechia,ميناء هامبورغ (ألمانيا) أو غدانسك (بولندا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
DEU,Germany,Hamburg,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
DJI,Djibouti,DJIBOUTI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
DMA,Dominica,ROSEAU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
DNK,Denmark,KOBENHAVN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
DOM,Dominican Republic,SANTO DOMINGO,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
DZA,Algeria,Algiers,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
ECU,Ecuador,GUAYAQUIL,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
EGY,Egypt,AL ISKANDARIYH (ALEXANDRIA),sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ERI,Eritrea,ASSAB,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ESH,Western Sahara,AD DAKHLA,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ESP,Spain,Valencia,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
EST,Estonia,TALLINN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ETH,Ethiopia,ميناء جيبوتي (جيبوتي) — الممرّ الرئيسي شبه الحصري,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
FIN,Finland,HELSINKI,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
FJI,Fiji,LEVUKA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
FLK,Falkland Islands,STANLEY,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
FRA,France,Marseille-Fos,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
FRO,Faroe Islands,TORSHAVN,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
FSM,Micronesia,POHNPEI HARBOR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GAB,Gabon,PORT GENTIL,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GBR,United Kingdom,Felixstowe,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
GEO,Georgia,BATUMI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GGY,Guernsey,SAINT PETER PORT,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GHA,Ghana,Tema,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
GIB,Gibraltar,EUROPA POINT,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GIN,Guinea,CONAKRY,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GLP,Guadeloupe,POINTE A PITRE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GMB,Gambia,BANJUL,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GNB,Guinea-Bissau,BISSAU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GNQ,Equatorial Guinea,MALABO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GRC,Greece,PIRAIEVS,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GRD,Grenada,ST GEORGE'S,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GRL,Greenland,PAAMUIT (FREDERIKSHAB),sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GTM,Guatemala,SANTO THOMAS DE CASTILLA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GUF,French Guiana,DEGRAD DES CANNES,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GUM,Guam,APRA HARBOR,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
GUY,Guyana,GEORGETOWN,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
HKG,Hong Kong,HONG KONG,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
HND,Honduras,PUERTO CORTES,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
HRV,Croatia,SPLIT,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
HTI,Haiti,PORT AU PRINCE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
HUN,Hungary,ميناء رييكا (كرواتيا) أو هامبورغ عبر نهر الدانوب,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
IDN,Indonesia,Tanjung Priok (Jakarta),sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
IMN,Isle of Man,DOUGLAS,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
IND,India,"Jawaharlal Nehru Port (Nhava Sheva, Mumbai)",sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
IOT,British Indian Ocean Territory,DIEGO GARCIA,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
IRL,Ireland,FOYNES,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
IRN,Iran,BANDAR ABBAS,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
IRQ,Iraq,AL BASRAH,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ISL,Iceland,REYKJAVIK,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ISR,Israel,HAIFA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ITA,Italy,Genoa,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
JAM,Jamaica,KINGSTON,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
JEY,Jersey,SAINT HELIER HARBOUR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
JOR,Jordan,AL AQABAH,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
JPN,Japan,Yokohama,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
KAZ,Kazakhstan,ميناء أكتاو (بحر قزوين) أو موانئ الصين/روسيا,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
KEN,Kenya,MOMBASA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
KGZ,Kyrgyzstan,عبر كازاخستان أو الصين,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
KHM,Cambodia,KAMPONG SAOM,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
KIR,Kiribati,CANTON ISLAND,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
