iso3,name_en,main_port,port_type,logistics_note,source,source_url
KNA,Saint Kitts and Nevis,BASSETERRE,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
KOR,South Korea,PUSAN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
KWT,Kuwait,MINA ASH SHUAYBAH,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LAO,Laos,ميناء دا نانغ (فيتنام) أو موانئ تايلاند,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
LBN,Lebanon,BAYRUT,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LBR,Liberia,MONROVIA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LBY,Libya,BANGHAZI,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LCA,Saint Lucia,CASTRIES,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LIE,Liechtenstein,عبر سويسرا إلى روتردام,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
LKA,Sri Lanka,COLOMBO,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LSO,Lesotho,ميناء ديربان (جنوب أفريقيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
LTU,Lithuania,KLAIPEDA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
LUX,Luxembourg,ميناء أنتويرب (بلجيكا) أو روتردام (هولندا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
LVA,Latvia,RIGA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MAC,Macau,MACAU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MAR,Morocco,CASABLANCA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MCO,Monaco,MONACO,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MDA,Moldova,ميناء كونستانتسا (رومانيا) أو أوديسا (أوكرانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
MDG,Madagascar,ANTSIRANANA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MDV,Maldives,MALE,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MEX,Mexico,MANZANILLO,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MHL,Marshall Islands,KWAJALEIN,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MKD,North Macedonia,ميناء سالونيك (اليونان),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
MLI,Mali,ميناء داكار (السنغال) أو أبيدجان (كوت ديفوار),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
MLT,Malta,VALLETTA HARBORS,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MMR,Myanmar,SITTWE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MNE,Montenegro,BAR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MNG,Mongolia,ميناء تيانجين (الصين) أو موانئ روسيا,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
MNP,Northern Mariana Islands,SAIPAN,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MOZ,Mozambique,BEIRA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MRT,Mauritania,NOUADHIBOU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MSR,Montserrat,Plymouth,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MTQ,Martinique,FORT DE FRANCE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MUS,Mauritius,PORT LOUIS,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MWI,Malawi,ميناء بيرا/ناكالا (موزمبيق) أو دار السلام (تنزانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
MYS,Malaysia,PORT KLANG,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
MYT,Mayotte,Mamoudzou,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NAM,Namibia,WALVIS BAY,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NCL,New Caledonia,NOUMEA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NER,Niger,ميناء كوتونو (بنين) أو لاغوس (نيجيريا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
NFK,Norfolk Island,KINGSTON,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NGA,Nigeria,LAGOS,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NIC,Nicaragua,CORINTO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NIU,Niue,ALOFI,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NLD,Netherlands,Rotterdam,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
NOR,Norway,OSLO,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NPL,Nepal,ميناء كولكاتا (الهند),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
NRU,Nauru,NAURU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
NZL,New Zealand,AUCKLAND,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
OMN,Oman,PORT OF SOHAR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PAK,Pakistan,KARACHI,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PAN,Panama,BALBOA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PER,Peru,PUERTO DEL CALLAO,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PHL,Philippines,MANILA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PLW,Palau,MALAKAL HARBOR,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PNG,Papua New Guinea,PORT MORESBY,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
POL,Poland,GDANSK,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PRI,Puerto Rico,ENSENADA HONDA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PRK,North Korea,NAMPO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PRT,Portugal,FUNCHAL,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PRY,Paraguay,PUERTO DE ASUNCION,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
PYF,French Polynesia,PAPEETE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
QAT,Qatar,Hamad Port,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
REU,Réunion,PORT EST,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ROU,Romania,CONSTANTA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
RUS,Russia,NOVOROSSIYSK,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
RWA,Rwanda,ميناء دار السلام (تنزانيا) أو مومباسا (كينيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
SAU,Saudi Arabia,RAS  TANNURAH,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SDN,Sudan,PORT SUDAN,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SEN,Senegal,DAKAR,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SGP,Singapore,Port of Singapore,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
SGS,South Georgia,GRYTVIKEN,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SHN,"Saint Helena, Ascension and Tristan da Cunha",GEORGETOWN,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SLB,Solomon Islands,PORT NORO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SLE,Sierra Leone,FREETOWN,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SLV,El Salvador,LA UNION,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SMR,San Marino,موانئ إيطاليا,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
SOM,Somalia,MUQDISHO,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SPM,Saint Pierre and Miquelon,PORT DE ST PIERRE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SRB,Serbia,ميناء بار (الجبل الأسود) أو رييكا (كرواتيا) عبر الدانوب,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
SSD,South Sudan,ميناء مومباسا (كينيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
STP,São Tomé and Príncipe,SANTO ANTONIO,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SUR,Suriname,PARAMARIBO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SVK,Slovakia,عبر بولندا/ألمانيا — نهر الدانوب,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
SVN,Slovenia,KOPER,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SWE,Sweden,STOCKHOLM,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SWZ,Eswatini,ميناء ديربان (جنوب أفريقيا) أو مابوتو (موزمبيق),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
SXM,Sint Maarten,PHILLIPSBURG,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SYC,Seychelles,VICTORIA,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
SYR,Syria,BANIYAS,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TCA,Turks and Caicos Islands,COCKBURN HARBOR,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TCD,Chad,ميناء دوالا (الكاميرون),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
TGO,Togo,LOME,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
THA,Thailand,Laem Chabang,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
TJK,Tajikistan,عبر أوزبكستان/كازاخستان,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
TKM,Turkmenistan,ميناء تركمن باشي (بحر قزوين),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
TLS,Timor-Leste,DILI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TON,Tonga,NUKU ALOFA,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TTO,Trinidad and Tobago,PORT OF SPAIN,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TUN,Tunisia,LA GOULETTE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TUR,Türkiye,ISTANBUL,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TUV,Tuvalu,FUNAFUTI ATOLL,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TWN,Taiwan,CHI-LUNG,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
TZA,Tanzania,DAR ES SALAAM,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
UGA,Uganda,ميناء مومباسا (كينيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
UKR,Ukraine,ODESA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
URY,Uruguay,MONTEVIDEO,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
USA,United States,Los Angeles / Long Beach,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
UZB,Uzbekistan,عبر كازاخستان (أكتاو) أو إيران,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
VCT,Saint Vincent and the Grenadines,KINGSTOWN,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
VEN,Venezuela,PUERTO LA CRUZ,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
VGB,British Virgin Islands,ROAD HARBOR,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
VNM,Vietnam,THANH HO CHI MINH,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
VUT,Vanuatu,LUGANVILLE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
WLF,Wallis and Futuna,MATA-UTU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
WSM,Samoa,APIA,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
YEM,Yemen,Aden,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
ZAF,South Africa,Durban,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
ZMB,Zambia,ميناء دار السلام (تنزانيا) أو ديربان (جنوب أفريقيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
ZWE,Zimbabwe,ميناء بيرا (موزمبيق) أو ديربان (جنوب أفريقيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
